flight,orig_index,time,GPS_TOW,navalt,alt,ax,ay,az,ias,h,navvn,navve,navvd,vn,ve,vd,p,q,r,label
104,6794,135.8800049,580486,252.6788942,254.8090057,5.56461525,-0.5324550867,-6.692243576,7.128408909,10.73396969,-7.564289093,-5.245872498,4.689418316,-6.41585207,-2.252416372,7.434875488,0.6766940951,0.9536544681,-0.001804193947,0
104,6795,135.8999939,580486,252.5851059,254.8090057,6.610394955,0.7420890927,-7.803384781,7.010137558,9.86323452,-7.594024658,-5.297903538,4.721922874,-6.41585207,-2.252416372,7.434875488,0.7142186761,0.7957021594,-0.01140350476,0
104,6796,135.9199982,580486,252.4906674,254.8090057,6.152866364,1.003534079,-7.836065292,7.000956535,8.992571831,-7.602357864,-5.37180233,4.72708559,-6.41585207,-2.252416372,7.434875488,0.6138622761,0.6770197749,-0.02362081036,0
104,6797,135.9400024,580486,252.3961257,254.8090057,5.695337772,-0.3690519929,-7.247814178,7.446128368,8.992571831,-7.598590851,-5.439086437,4.734775543,-6.41585207,-2.252416372,7.434875488,0.5815736651,0.6237872243,-0.02449347451,0
104,6798,135.9600067,580486,252.3014302,254.8090057,6.545033932,0.8401309252,-8.391635895,6.991764069,12.62081528,-7.614816189,-5.487343788,4.753715515,-6.41585207,-2.252416372,7.434875488,0.4742359221,0.5400114655,-0.04543742537,0
104,6799,135.9799957,580486,252.2063559,254.8090057,6.152866364,-0.04224579409,-8.522357941,6.871140003,5.220543861,-7.608427525,-5.553872108,4.747218609,-6.41585207,-2.252416372,7.434875488,0.4052954316,0.4562356472,-0.06812670827,0
104,6800,136,580486,252.1114115,254.8090057,5.956782818,-0.1076070368,-8.260913849,7.633780479,8.992571831,-7.610620022,-5.603261948,4.73916626,-6.41585207,-2.252416372,7.434875488,0.3485722244,0.3794411421,-0.07598068565,0
104,6801,136.0200043,580486,252.0166282,254.8090057,6.316269398,0.3499216437,-9.633499146,7.200225353,7.106386185,-7.611842632,-5.649392128,4.737038612,-6.41585207,-2.252416372,7.434875488,0.2717777491,0.3244632781,-0.1039059535,0
104,6802,136.0399933,580486,251.9218874,254.8090057,5.793379307,-0.4670938551,-8.587719917,7.000956535,10.73396969,-7.597957611,-5.696989059,4.708217621,-6.41585207,-2.252416372,7.434875488,0.2394891381,0.2712307274,-0.1300859004,0
104,6803,136.0599976,580486,251.8277231,254.8090057,6.283588886,0.709408462,-9.5027771,6.652369499,18.13817787,-7.598856926,-5.733260632,4.700302124,-6.41585207,-2.252416372,7.434875488,0.1522226781,0.2310881615,-0.15364784,0
104,6804,136.0800018,580486,251.733717,254.8090057,5.56461525,-0.1729682684,-9.045248032,7.137425423,10.73396969,-7.576910019,-5.783325672,4.674934387,-6.41585207,-2.252416372,7.434875488,0.1225520819,0.1970542371,-0.173719123,0
104,6805,136.1000061,580486,251.6402183,254.8090057,5.793379307,0.6113666296,-9.437416077,7.128408909,15.37912941,-7.566105843,-5.814792156,4.661410809,-6.41585207,-2.252416372,7.434875488,0.06146556139,0.1778556257,-0.1798277795,0
104,6806,136.1199951,580486,251.5469901,254.8090057,5.597295761,-0.1729682684,-8.587719917,6.936352253,10.73396969,-7.540911674,-5.855042934,4.641020775,-6.41585207,-2.252416372,7.434875488,0.0239409823,0.1717469692,-0.2007717341,0
104,6807,136.1399994,580486,251.4541697,254.8090057,5.728018284,0.6767278314,-9.110610008,7.32420969,18.13817787,-7.532747269,-5.888440132,4.635158539,-6.41585207,-2.252416372,7.434875488,-0.05110817403,0.1656383127,-0.2103710324,0
